init, bathrooms,bedrooms,livingArea,lotSize
1,3,4,2268,15246
1,3,5,4209,60984
1,3,5,3658,60984
1,2,4,1700,6534
1,2,5,1512,25700
1,2.5,4,4500,40075
1,3,4,2500,13939
1,4,4,2967,152024
1,3,4,2073,30492
1,2,5,2279,45302
1,2,4,2060,8712
1,3,4,2340,43560
1,4,4,3307,20037
1,3,5,2840,43124
1,3,4,3036,33976
1,3,4,2200,34412
1,2,4,1661,32234
1,2.5,5,3010,30927
1,3,4,2365,10890
1,3,4,2594,30056
1,2.5,4,2508,62291
1,3,4,3000,-1
1,3,4,2483,31363
1,3,4,3415,23086
1,3,4,2164,38768
1,2,5,2180,31798
1,3,4,2131,10018
1,3,4,3488,47916
1,3,6,3860,58545
1,3,4,3148,43995
1,3,4,2239,23086
1,3,4,3099,30056
1,3,4,2490,44866
1,4,4,2214,51400
1,3.5,5,3400,14810
1,3,4,3642,44431
1,2,4,3089,41382
1,2,5,2000,20037
1,3,4,2911,64033
1,3,5,5438,94089
1,3,4,2716,20037
1,3,4,3318,36154
1,3,4,2260,30056
1,2,4,1652,11761
1,3,4,3200,44431
1,3,4,2358,47916
1,3,4,2040,-1
1,2,4,1944,60984
1,3,4,5000,66211
1,2,4,1728,30056
1,2.5,4,2600,46572
1,3,4,2000,-1
1,3,4,2884,56627
1,3,4,4113,30056
1,2,4,1984,52837
1,2.5,4,2425,35734
1,3,5,2460,5662
1,3,4,3078,39639
1,3,5,3500,26564
1,2,4,1782,12196
1,3,4,3670,30927
1,2,4,2875,15110
1,3,4,2132,60112
1,3,4,3216,72745
1,3,4,2563,32670
1,2.5,4,2128,16552
1,4,4,3310,30056
1,2,4,1472,12632
1,4,4,2810,-1
1,3,4,2401,32889
1,3,5,2963,21344
1,4,4,3637,30056
1,2,4,2008,47916
1,2,4,1856,43560
1,2,4,1374,5662
1,2,4,2304,46173
1,3,4,3452,30927
1,3,4,1806,9932
1,2,4,1282,14810
1,3,4,3120,30492
1,3,4,2103,32234
1,2,4,2590,56627
1,2.5,4,3890,43560
1,2,5,2374,31407
1,2,4,2936,83635
1,3,4,2000,13503
1,2,4,4723,26136
1,2.5,4,2652,40075
1,4,4,4200,54450
1,2,4,2208,14810
1,2.5,4,2144,81022
1,3.5,4,5071,60548
1,3,5,3690,60548
1,3,4,4565,213444
1,3,4,1634,6098
1,4,4,4184,81021
1,4,4,3850,63162
1,2,4,2150,40075
1,2,4,1767,15681
1,2.5,4,2350,26136
1,3,5,2400,14374
1,3,4,3008,43995
1,3,5,2676,42688
1,2.5,4,2480,14374
1,4,4,4200,30939
1,3,4,2532,56192
1,3,4,2762,40510
1,2.5,4,2771,45737
1,2.5,4,2847,41587
1,2,4,1350,6969
1,4,5,4094,40075
1,3,4,2128,-1
1,2,4,1814,6098
1,3.5,4,2854,14810
1,2.5,4,2622,57178
1,3,4,2347,30492
1,3,4,2816,52272
1,3.5,4,3506,20010
1,2,4,1008,22651
1,3,4,3200,21780
1,2,4,1678,32670
1,4,4,3407,80586
1,2.5,4,2900,87555
1,3,4,2854,21852
1,2.5,4,2288,31363
1,3,6,3421,27007
1,3,4,2494,60112
1,3,4,2272,24668
1,2,4,1056,3049
1,3,4,2895,48276
1,2.5,4,2937,33976
1,2,4,1898,21344
1,3,4,1944,26571
1,3,4,2628,23522
1,2.5,4,2124,43995
1,4,4,3205,40946
1,4,4,3722,57934
1,2,4,1830,40075
1,3,4,3047,40010
1,2.5,4,2064,48351
1,3,4,2356,83200
1,3,4,3100,40040
1,4,4,3928,66211
1,2.5,4,2336,104065
1,3.5,5,3856,30056
1,3,4,2926,-1
1,2.5,4,2828,21780
1,2,4,1763,3484
1,3,4,2200,40310
1,2.5,4,2958,3920
1,3,4,2668,33541
1,3,4,3052,40010
1,3,4,2037,-1
1,2.5,4,3148,20908
1,2,4,1412,12632
1,3,4,2423,27878
1,2,4,1620,12196
1,3,5,3163,32234
1,3,4,4221,37026
1,3,4,2992,46609
1,2,4,2290,43560
1,6,5,5838,122839
1,2,4,2338,32234
1,3,4,2184,18730
1,4.5,4,4236,29185
1,2,4,1657,6752
1,2.5,4,2889,20037
1,2.5,4,3237,31798
1,3,5,4909,57063
1,4,5,2762,26315
1,3,4,2000,50965
1,2,4,2144,14985
1,2.5,4,2730,40007
1,3,5,1791,5009
1,3,4,2484,43560
1,3.5,5,4358,1731510
1,2.5,4,2656,67082
1,2.5,4,2489,50965
1,2.5,4,3250,23958
1,2,4,1711,10018
1,2.5,4,2100,21780
1,3,4,2875,-1
1,2,5,1764,12738
1,3,4,2800,20037
1,2,4,2248,14727
1,2.5,4,2093,24393
1,3,4,3458,40075
1,3,4,3000,-1
1,2,4,2964,31798
1,2.5,4,3800,32670
1,2,5,2208,15681
1,4,4,3556,71874
1,3,4,1852,20000
1,3,4,3131,21344
1,3,4,3290,158558
1,2.5,4,3431,64904
1,2,4,1750,10436
1,2.5,4,2240,14374
1,3.5,4,2959,220282
1,3,4,3326,52272
1,2.5,4,2402,54450
1,4,4,2559,54885
1,3,4,2500,-1
1,2.5,4,2300,49658
1,2.5,4,2697,29185
1,2.5,4,2448,113255
1,3,4,2340,54885
1,2,5,1774,43560
1,3,4,2818,60112
1,7,4,5188,154202
1,2,4,1858,7200
1,3,4,2552,30056
1,2,4,1800,43604
1,3,4,2296,-1
1,2,4,1584,15246
1,3,4,3450,43560
1,3,4,3550,40737
1,3,4,2135,14374
1,2,4,2300,23086
1,3,4,2614,30056
1,2.5,4,2076,20037
1,2,4,1700,40075
1,3,4,2218,30056
1,2.5,5,2190,21344
1,2.5,4,2520,42253
1,3,4,3028,40075
1,2.5,4,2604,21000
1,2.5,4,2500,85813
1,3,4,2624,57934
1,2,4,2022,13939
1,5,5,5532,43560
1,2.5,4,3005,30056
1,2.5,4,3181,25700
1,3,4,2600,14898
1,3.5,4,2862,40019
1,2.5,4,2356,57499
1,3,4,2994,30492
1,2.5,4,3144,30000
1,2.5,4,2526,86248
1,4,4,4450,40075
1,2,4,2019,11979
1,5,5,4008,30212
1,4,4,5669,219542
1,3,4,1976,7405
1,2.5,4,2241,57063
1,3,4,2514,34412
1,3,4,3270,20037
1,4,5,4026,51508
1,2.5,4,2818,14810
1,3,4,2366,7840
1,2.5,4,2656,81021
1,3,5,4000,20473
1,2.5,4,2086,50965
1,4,4,1938,9583
1,2,4,2220,37461
1,3.5,4,4100,40946
1,2,5,2044,56627
1,3,4,2714,30492
1,5,4,3178,154202
1,3,4,2506,5227
1,3,4,3358,23522
1,2,4,2062,26200
1,2,7,2432,7405
1,2.5,4,2660,43560
1,4,4,3842,50530
1,2,4,2373,20255
1,3,4,2816,28009
1,2,4,2759,12632
1,2.5,4,3820,64033
1,2,4,2312,44431
1,2.5,4,2044,20037
1,3.5,5,3239,20908
1,2,4,1844,8189
1,2,4,1458,7405
1,2,4,1573,7840
1,2,5,2940,6969
1,4,4,2884,60548
1,3.5,4,4082,77972
1,4.5,4,6300,40510
1,2,4,1800,30056
1,3,4,2029,36590
1,2,4,1557,5662
1,2,4,2182,5662
1,4,5,3384,64468
1,3,4,4047,87670
1,2.5,4,2678,39204
1,3,4,3400,92347
1,2.5,4,1900,40075
1,3,5,2832,12196
1,3,4,4408,18101
1,2,4,2064,23958
1,3,6,3717,5227
1,4,5,4067,87555
1,2.5,4,3400,40075
1,2,4,2271,104548
1,2,4,1706,25700
1,2.5,4,2028,28748
1,2,5,2024,15500
1,2,4,1566,3049
1,3,4,2458,28313
1,2,4,1764,11761
1,2.5,4,2939,24393
1,3,4,1642,6969
1,2.5,4,2657,32670
1,3,4,1927,30056
1,2,4,1770,5997
1,2.5,4,2600,56192
1,2,4,1432,13068
1,3,4,2536,55870
1,2,4,1837,-1
1,3,4,2400,17424
1,2.5,4,3500,40075
1,3,4,2482,127195
1,3,4,3103,244807
1,2.5,4,2625,6609
1,5.5,5,5626,50094
1,3,4,2725,60984
1,2,5,2007,9147
1,3,4,1824,39639
1,2,4,1872,22651
1,3,4,2427,49222
1,2,4,1919,15848
1,2,4,1560,8756
1,3,7,3156,15000
1,2.5,4,2114,27443
1,2.5,4,2756,23522
1,5,4,3035,48351
1,3,4,3221,72745
1,3,4,2600,35719
1,2.5,4,2553,43995
1,4,5,2474,31205
1,2.5,4,3595,30056
1,2,4,1382,30056
1,3,4,1971,10500
1,4,5,4976,36590
1,3.5,4,2960,15246
1,2,5,1732,6969
1,3,4,2413,-1
1,3,4,2548,21780
1,2,4,1475,4356
1,2.5,4,3200,62841
1,3,4,2444,40046
1,3,4,2656,40075
1,2,4,1840,7840
1,2,4,2008,23386
